dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1760037324,1,-74.001609,40.721783,0.0,54.145839,-1.0,101.227184,1,0,5.741866
1760037465,1,-74.001078,40.721127,0.0,15.782486,-1.0,85.552706,1,0,5.741866
1760037619,1,-74.000208,40.721454,0.0,15.375164,-1.0,81.985577,1,0,7.751866
1760037700,1,-73.999602,40.722085,0.0,18.352349,-1.0,86.78421,1,0,7.751866
1760037771,1,-73.999124,40.722722,0.0,14.047646,-1.0,81.454652,1,0,7.487905
1760037873,1,-73.998494,40.723397,0.0,27.128332,-1.0,91.934148,1,0,9.527905
1760037948,1,-73.99811,40.724062,0.0,21.070987,-1.0,80.65995,1,0,10.057905
1760038055,1,-73.997432,40.724601,0.0,17.066689,-1.0,82.849465,1,0,10.057905
1760038723,1,-73.997921,40.723975,0.0,14.245955,0.833604,80.867002,1,0,12.005963
1760038786,1,-73.998578,40.723439,0.0,14.245955,1.279074,81.388841,1,0,11.233066
1760038918,1,-73.998245,40.722736,0.0,18.501357,-1.0,82.982281,1,0,10.377905
1760039028,1,-73.997494,40.72229,0.0,14.245955,0.340116,80.49242,1,0,10.651268
1760039422,1,-73.998642,40.722771,0.0,18.951174,0.609226,110.728298,1,0,10.497629
1760039424,1,-73.997516,40.72254,0.0,41.132043,-1.0,98.532105,1,0,10.612395
1760039436,1,-73.998682,40.723042,0.0,22.952906,-1.0,113.192971,1,0,10.80118
1760040458,1,-73.998315,40.72372,0.0,18.933117,-1.0,81.426023,1,0,12.405961
1760040533,1,-73.997769,40.724341,0.0,19.179297,-1.0,82.968144,1,0,12.406064
1760040602,1,-73.997152,40.724899,0.0,15.850745,-1.0,80.976398,1,0,12.400993
1760041684,1,-73.997292,40.725707,0.0,56.695014,-1.0,90.503676,1,0,12.757905
1760041764,1,-73.997461,40.727487,0.0,94.858439,-1.0,198.181812,1,0,12.757905
1760041766,1,-73.997504,40.726116,0.0,45.729271,-1.0,152.291311,1,0,12.757905
1760041894,1,-73.996933,40.726746,0.0,21.809258,-1.0,84.979536,1,0,12.757905
1760041973,1,-73.996423,40.727446,0.0,15.222974,-1.0,88.876212,1,0,10.107905
1760042022,1,-73.995778,40.72798,0.0,23.000865,-1.0,80.534077,1,0,10.107905
1760042094,1,-73.995225,40.728667,0.0,15.986021,-1.0,89.458678,1,0,10.107905
1760042191,1,-73.995898,40.729371,0.0,12.160816,-1.0,96.666883,1,0,10.107905
1760042257,1,-73.996686,40.729831,0.0,25.953016,-1.0,83.911848,1,0,10.107905
1760042307,1,-73.996893,40.730542,0.0,32.374378,-1.0,80.869162,1,0,8.107905
1760043393,1,-73.995906,40.730579,0.0,17.490345,0.0,83.484664,1,0,11.648529
1760043486,1,-73.995394,40.731203,0.0,30.049104,-1.0,81.686515,1,0,8.107905
1760043529,1,-73.994709,40.731702,0.0,21.570485,-1.0,80.12224,1,0,8.107905
1760043638,1,-73.994098,40.732457,0.0,28.152376,-1.0,98.457626,1,0,8.107905
1760043716,1,-73.993515,40.733073,0.0,17.933976,-1.0,84.29004,1,0,11.930529
1760043796,1,-73.992962,40.733673,0.0,15.712231,-1.0,81.373773,1,0,8.107905
1760044201,1,-73.993938,40.733524,0.0,18.749715,-1.0,84.090775,1,0,10.397905
1760044276,1,-73.994787,40.733922,0.0,13.221387,-1.0,84.243539,1,0,8.367905
1760044349,1,-73.99478,40.734716,0.0,22.540919,-1.0,88.174801,1,0,8.117905
1760044456,1,-73.994058,40.735192,0.0,26.60958,-1.0,80.708904,1,0,8.117905
1760044659,1,-73.993848,40.736045,0.0,24.008623,1.690075,96.371505,1,0,11.770207
1760044743,1,-73.993103,40.736559,0.0,16.182014,-1.0,84.962536,1,0,12.381874
1760044838,1,-73.992586,40.737341,0.0,17.276271,-1.0,97.203823,1,0,12.672146
1760054775,1,-73.991741,40.73699,0.0,24.035471,-1.0,81.329626,1,0,11.357905
1760054851,1,-73.990832,40.736624,0.0,14.586499,-1.0,86.8803,1,0,14.2131
1760055093,1,-73.997769,40.724266,0.0,83.656838,-1.0,1492.218776,1,0,4.487905
1760055310,1,-73.994432,40.714132,0.0,67.923737,-1.0,1160.148709,1,0,12.637905
1760055335,1,-73.993875,40.712196,0.0,74.68996,-1.0,220.081815,1,0,22.047905
1760055424,1,-73.989815,40.70484,0.0,133.6895,10.247386,885.989221,1,0,6.352814
1760055443,1,-73.989135,40.703981,0.0,72.804031,-1.0,111.363572,1,0,39.027905
1760055469,1,-73.987525,40.701584,0.0,76.798975,-1.0,298.942632,1,0,29.607905
1760055822,1,-73.978645,40.683941,0.0,24.883477,-1.0,2098.03484,1,0,1.427905
1760055978,1,-73.979067,40.683276,0.0,33.474133,1.098208,82.012302,1,0,13.168249
1760056039,1,-73.979374,40.682585,0.0,14.245954,1.183441,81.004158,1,0,10.210114
1760056102,1,-73.9798,40.681917,0.0,14.245954,1.280537,82.459551,1,0,9.122821
1760056163,1,-73.980594,40.681345,0.0,26.70662,0.405781,92.412466,1,0,10.841308
1760056238,1,-73.9807,40.680628,0.0,14.245954,1.124828,80.124053,1,0,9.456257
1760056311,1,-73.981244,40.680037,0.0,14.245955,1.222799,80.137915,1,0,8.601994
1760056410,1,-73.982002,40.68053,0.0,15.036553,0.0,84.280814,1,0,10.132994
1760057823,1,-73.981671,40.679851,0.0,14.245955,0.98442,80.426122,1,0,7.680778
1760057893,1,-73.9821,40.679209,0.0,14.245955,1.042075,79.986802,1,0,8.153751
1760057960,1,-73.982464,40.678543,0.0,14.245955,1.077501,80.103955,1,0,8.437557
1760058028,1,-73.982909,40.677885,0.0,14.245955,1.234833,82.186007,1,0,7.16416
1760058116,1,-73.983951,40.677783,0.0,17.712554,-1.0,88.819135,1,0,5.488957
1760058204,1,-73.984945,40.678188,0.0,18.886885,-1.0,95.31378,1,0,5.488957
1760058326,1,-73.985893,40.678698,0.0,14.35859,-1.0,98.13752,1,0,5.720728
1760058407,1,-73.986911,40.678964,0.0,21.042934,-1.0,90.992842,1,0,3.190728
1760058513,1,-73.987973,40.679424,0.0,14.554778,-1.0,103.298927,1,0,3.190728
1760058575,1,-73.989077,40.680135,0.0,48.118456,-1.0,122.251434,1,0,4.308864
1760058623,1,-73.98803,40.679993,0.0,31.414927,-1.0,89.910205,1,0,3.190728
1760060535,1,-73.987305,40.680849,0.0,36.258528,-1.0,113.104931,1,0,0.600728
1760060609,1,-73.98808,40.681329,0.0,21.212206,-1.0,95.544112,1,0,0.600728
1760060639,1,-73.987011,40.681609,0.0,77.658583,-1.0,95.570307,1,0,5.276331
1760060643,1,-73.988537,40.681081,0.0,15.123112,-1.0,141.704089,1,0,5.578997
1760068807,1,-73.988564,40.681087,0.0,3.456158,-1.0,2.377781,1,0,18.050728
